t [sec],GPS_lat (deg),GPS_long (deg),GPS_alt (m),Baro1_alt (m),Baro2_alt (m),Baro3_alt (m)
17.0,42.373595750178886,-71.1088735987502,0.22391648031771183,0.0003662900999188423,0.0003662900999188423,0.0003662900999188423
17.1,,,,0.0003705844283103943,0.0003705844283103943,0.0003705844283103943
17.2,,,,0.0003749057650566101,0.0003749057650566101,0.0003749057650566101
17.3,,,,0.00037925224751234055,0.00037925224751234055,0.00037925224751234055
17.400000000000002,,,,0.0003836238756775856,0.0003836238756775856,0.0003836238756775856
17.5,,,,0.00038801785558462143,0.00038801785558462143,0.00038801785558462143
17.6,,,,0.0003924397751688957,0.0003924397751688957,0.0003924397751688957
17.7,,,,0.0003968849778175354,0.0003968849778175354,0.0003968849778175354
17.8,,,,0.0004013562574982643,0.0004013562574982643,0.0004013562574982643
17.900000000000002,,,,0.00040585268288850784,0.00040585268288850784,0.00040585268288850784
18.0,42.373587093124534,-71.10881654651355,-0.5451058959588408,0.0004103733226656914,0.0004103733226656914,0.0004103733226656914
18.1,,,,0.0004149191081523895,0.0004149191081523895,0.0004149191081523895
18.2,,,,0.0004194900393486023,0.0004194900393486023,0.0004194900393486023
18.3,,,,0.0004240870475769043,0.0004240870475769043,0.0004240870475769043
18.4,,,,0.0004287082701921463,0.0004287082701921463,0.0004287082701921463
18.5,,,,0.0004333546385169029,0.0004333546385169029,0.0004333546385169029
18.6,,,,0.00043802522122859955,0.00043802522122859955,0.00043802522122859955
18.7,,,,0.0004427209496498108,0.0004427209496498108,0.0004427209496498108
18.8,,,,0.0004474446177482605,0.0004474446177482605,0.0004474446177482605
18.9,,,,0.000452190637588501,0.000452190637588501,0.000452190637588501
19.0,42.37361098219851,-71.10867560832587,4.241632060147822,0.0004569627344608307,0.0004569627344608307,0.0004569627344608307
19.1,,,,0.000461759977042675,0.000461759977042675,0.000461759977042675
19.200000000000003,,,,0.0004665795713663101,0.0004665795713663101,0.0004665795713663101
19.3,,,,0.00047142617404460907,0.00047142617404460907,0.00047142617404460907
19.4,,,,0.00047629792243242264,0.00047629792243242264,0.00047629792243242264
19.5,,,,0.00048119574785232544,0.00048119574785232544,0.00048119574785232544
19.6,,,,0.00048611778765916824,0.00048611778765916824,0.00048611778765916824
19.700000000000003,,,,0.000491064041852951,0.000491064041852951,0.000491064041852951
19.8,,,,0.0004960363730788231,0.0004960363730788231,0.0004960363730788231
19.9,,,,0.0005010329186916351,0.0005010329186916351,0.0005010329186916351
20.0,42.37359231213227,-71.10870869364986,-5.567879052832723,0.000506056472659111,0.000506056472659111,0.000506056472659111
20.1,,,,0.0005111014470458031,0.0005111014470458031,0.0005111014470458031
20.200000000000003,,,,0.0005161743611097336,0.0005161743611097336,0.0005161743611097336
20.3,,,,0.0005212705582380295,0.0005212705582380295,0.0005212705582380295
20.4,,,,0.0005263937637209892,0.0005263937637209892,0.0005263937637209892
20.5,,,,0.000531541183590889,0.000531541183590889,0.000531541183590889
20.6,,,,0.0005367137491703033,0.0005367137491703033,0.0005367137491703033
20.700000000000003,,,,0.0005419114604592323,0.0005419114604592323,0.0005419114604592323
20.8,,,,0.0005471333861351013,0.0005471333861351013,0.0005471333861351013
20.9,,,,0.0005523804575204849,0.0005523804575204849,0.0005523804575204849
21.0,42.37365827056662,-71.1086361684228,4.959266120567918,0.0005576536059379578,0.0005576536059379578,0.0005576536059379578
21.1,,,,0.000562950037419796,0.000562950037419796,0.000562950037419796
21.200000000000003,,,,0.0005682725459337234,0.0005682725459337234,0.0005682725459337234
21.3,,,,0.0005736202001571655,0.0005736202001571655,0.0005736202001571655
21.4,,,,0.0005789939314126968,0.0005789939314126968,0.0005789939314126968
21.5,,,,0.0005843918770551682,0.0005843918770551682,0.0005843918770551682
21.6,,,,0.0005898131057620049,0.0005898131057620049,0.0005898131057620049
21.700000000000003,,,,0.0005952613428235054,0.0005952613428235054,0.0005952613428235054
21.8,,,,0.000600733794271946,0.000600733794271946,0.000600733794271946
21.9,,,,0.0006062332540750504,0.0006062332540750504,0.0006062332540750504
